Artikelnummer;ShopPlus;Merk;Categorie;Productnaam;Productnaam (FR);Lange beschrijving;Korte beschrijving;Lange beschrijving (FR);Korte beschrijving (FR);Consumentenprijs (incl. BTW);BestelWeb;Packshot;Biolabel;Fairtradelabel;Herkomst;Bevat;Kan sporen bevatten van;Brutogewicht (kg);Lengte (mm);Breedte (mm);Hoogte (mm);BTW-tarief;Ingrediënten;Ingrediënten (FR);Energie (kJ);Vetten (g);Verzadigde vetten (g);Enkelvoudig onverzadigde vetten (g);Meervoudig onverzadigde vetten (g);Koolhydraten (g);Suikers (g);Polyolen (g);Zetmeel (g);Vezels (g);Eiwitten (g);Zout (g);Houdbaarheid (dagen);Netto-inhoud;Eenheid;Eenheidsprijs;EAN;Ompakhoeveelheid;Leeggoed;Gepubliceerd;Laatst bijgewerkt
22400;W12400;Oxfam Fair Trade;"Koffie &amp; thee>Koffie";Dessertkoffie fijngemalen 1 kg;Café dessert fine mouture 1 kg;"Een goed uitgebalanceerde dessert met een stevige body. Hij is zoetig met acide toetsen. Deze koffie blijft door de wijze van branden vrij stabiel in een thermos, en is dus ideaal voor gebruik in bedrijven.

Om een goede smaak te waarborgen zal de samenstelling van de blend niet altijd hetzelfde zijn. Minstens 90% arabica.";Fijngemalen koffie. Ideale verpakking voor bedrijven.;"Un café dessert bien balancé et énergique, douceâtre avec peu d’acidité. Le café est savoureux grâce à la torréfaction longue, aussi au thermos. Parfait pour utilisation dans des entreprises.

Afin de garantir un bon goût, le mélange peut varier. Au moins 90% arabica.";;10,45;instock;https://www.oxfamfairtrade.be/wp-content/uploads/22400-600x600.jpg;Nee;Ja;Burundi, DR Congo, Honduras, Nicaragua, Tanzania;/;/;1,008;110;140;340;6%;koffie*;café*;;;;;;;;;;;;;450;1000;g;€/kg 10,45;5,40016E+12;6;0,00;2016-12-31;2019-02-12
22401;W12401;Oxfam Fair Trade;"Koffie &amp; thee>Koffie";Dessertkoffie grofgemalen 1 kg;Café dessert grosse mouture 1 kg;Algemeen gewaardeerd om zijn milde smaak. Een typische ontbijtkoffie. Geschikt voor percolatoren. Minstens 90% arabica.;Grofgemalen koffie. Ideale verpakking voor bedrijven.;Grosse mouture. Convient pour les percolateurs. Apprécié pour son goût doux. Café idéal pour le petit-déjeuner. Au moins 90% arabica.;;10,45;instock;https://www.oxfamfairtrade.be/wp-content/uploads/22401-600x600.jpg;Nee;Ja;Burundi, DR Congo, Honduras, Nicaragua, Tanzania;/;/;1,008;110;140;340;6%;koffie*;café*;;;;;;;;;;;;;450;1000;g;€/kg 10,45;5,40016E+12;6;0,00;2016-12-31;2019-02-12
22600;W12600;Oxfam Fair Trade;"Koffie &amp; thee>Koffie";Dessertkoffie bonen 1 kg;Café dessert en grains 1 kg;Een zeer zachte en rijke koffie met een milde body en een fruitige nasmaak. Minstens 90% arabica.;Grofgemalen koffie. Ideale verpakking voor bedrijven.;Café en grains respectueux de l'homme et de l'environnement. Un arabica corsé, dont l'arrière-goût est cependant doux et l'arôme raffiné. Au moins 90% arabica.;;10,45;instock;https://www.oxfamfairtrade.be/wp-content/uploads/22600-600x600.jpg;Nee;Ja;Burundi, DR Congo, Honduras, Nicaragua, Tanzania;/;/;1,008;110;140;340;6%;koffie*;café*;;;;;;;;;;;;;450;1000;g;€/kg 10,45;5,40016E+12;6;0,00;2016-12-31;2019-02-12
22601;W12601;Oxfam Fair Trade;"Koffie &amp; thee>Koffie";BIO Highlandkoffie bonen 1 kg;Café Highland bio en grains 1 kg;Een zeer zachte en rijke koffie met milde body en een fruitige nasmaak. Kan ook gebruikt worden in een espressoapparaat. Dan bekom je een zachte en fruiterige kop koffie, ietwat atypisch voor espresso, maar zeer lekker. Minstens 90% arabica.;Lichtgebrande koffiebonen. Ideale verpakking voor bedrijven.;Café très doux et riche avec un goût léger et un arrière-goût fruité. Peut s’utiliser dans une machine à café espresso. Vous obtenez alors une tasse de café doux et plus fruité, ce qui est atypique pour un espresso, mais cependant très agréable. Au moins 90% arabica.;;12,45;instock;https://www.oxfamfairtrade.be/wp-content/uploads/22601-600x600.jpg;Ja;Nee;DR Congo, Honduras, Oeganda, Peru;/;/;1,008;110;140;340;6%;koffie*°;café*°;;;;;;;;;;;;;540;1000;g;€/kg 12,45;5,40016E+12;6;0,00;2016-12-31;2019-02-12
22602;W12602;Oxfam Fair Trade;"Koffie &amp; thee>Koffie";Espressokoffie bonen 1 kg;Café espresso en grains 1 kg;Bonenkoffie. Krachtige branding. Intens aroma. Volle smaak. Om een goede smaak te waarborgen zal de samenstelling van de blend niet altijd hetzelfde zijn. Minstens 90% arabica.;Donkergebrande koffiebonen. Ideale verpakking voor bedrijven.;Café en grains. Forte torréfaction. Saveur intense. Arôme complet.<br>Afin de garantir un bon goût, le mélange peut varier. Au moins 90% arabica.;;11,45;instock;https://www.oxfamfairtrade.be/wp-content/uploads/22602-600x600.jpg;Nee;Ja;Burundi, Honduras, Nicaragua, Tanzania;/;/;1,01;110;140;340;6%;koffie*;café*;;;;;;;;;;;;;450;1000;g;€/kg 11,45;5,40016E+12;6;0,00;2016-12-31;2019-02-12
22604;W12604;Oxfam Fair Trade;"Koffie &amp; thee>Koffie";BIO Highlandkoffie gemalen 1 kg;Café Highland bio moulu 1 kg;Een zeer zachte en rijke koffie met milde body en een fruitige nasmaak. Kan ook gebruikt worden in een espressoapparaat. Dan bekom je een zachte en fruitige kop koffie, ietwat atypisch voor espresso, maar zeer lekker. Minstens 90% arabica.;Een zeer zachte en rijke koffie met milde body en een fruitige nasmaak.;Café très doux et riche avec un goût léger et un arrière-goût fruité. Peut s’utiliser dans une machine à café espresso. Vous obtenez alors une tasse de café doux et plus fruité, ce qui est atypique pour un espresso, mais cependant très agréable. Au moins 90% arabica.;;12,45;instock;https://www.oxfamfairtrade.be/wp-content/uploads/22604-600x600.jpg;Ja;Nee;DR Congo, Honduras, Oeganda, Peru;/;/;1,01;110;140;340;6%;koffie*°;café*°;;;;;;;;;;;;;450;1000;g;€/kg 12,45;5,40016E+12;6;0,00;2016-12-31;2019-02-12
22704;W12704;Oxfam Fair Trade;"Koffie &amp; thee>Koffie";BIO Highland koffiepads;Café Highland bio dosettes;Deze pittige koffie met een aangename krachtige smaak en een zachte afdronk kan je vergelijken met mokkakoffie. Minstens 85% arabica.;Koffiepads met een aangename krachtige smaak.;Ce café bien serré, agréablement fort avec arrière-goût doux est comparable à un café moka. Au moins 85% arabica.;;2,30;instock;https://www.oxfamfairtrade.be/wp-content/uploads/22704-600x600.jpg;Ja;Ja;DR Congo, Honduras, Oeganda, Peru;/;/;0,119;142;72;145;6%;koffie*°;café*°;;;;;;;;;;;;;360;112;g;€/kg 20,54;5,40016E+12;10;0,00;2016-12-31;2019-02-12
22706;W12705;Oxfam Fair Trade;"Koffie &amp; thee>Koffie";BIO Decaf koffiepads;Café bio décaf dosettes;Een zachte en milde koffie voor ieder moment van de dag, maar dan zonder cafeïne. Pads geschikt voor café crème machines.;Cafeïnevrije koffiepads.;Un mélange sans caféine. Un café doux et moelleux pour tous les moments de la journée. Dosettes pour machines à café crème.;;2,60;instock;https://www.oxfamfairtrade.be/wp-content/uploads/22706-600x600.jpg;Ja;Ja;Oeganda, Peru;/;/;0,119;142;72;145;6%;koffie*°;café*°;;;;;;;;;;;;;365;112;g;€/kg 23,21;5,40016E+12;12;0,00;2016-12-31;2019-02-12
22722;X12722;Fairtrade Original;"Koffie &amp; thee>Koffie";BIO Koffiecaps lungo;Capsules de café bio lungo;De koffie in deze capsules is fairtrade, biologisch en klimaatneutraal. De smaak is krachtig, met een hint van chocolade en een pittig aroma. En nu zijn de cupjes ook volledig composteerbaar: ze kunnen voortaan zo in de GFT-bak!;Composteerbare capsules met biokoffie. Voor een krachtige lungo.;;;3,15;instock;https://www.oxfamfairtrade.be/wp-content/uploads/22722-600x600.jpg;Ja;Ja;Peru;/;/;0,089;120;60;150;6%;koffie*°;café*°;;;;;;;;;;;;;180;60;g;€/kg 52,50;8,71174E+12;6;0,00;2018-08-31;2019-02-12
22723;X12723;Fairtrade Original;"Koffie &amp; thee>Koffie";BIO Koffiecaps dark roast;Capsules de café bio dark roast;De koffie in deze capsules is fairtrade, biologisch en klimaatneutraal. De smaak is krachtig, met een hint van chocolade en een pittig aroma. En nu zijn de cupjes ook volledig composteerbaar: ze kunnen voortaan zo in de GFT-bak!;Composteerbare capsules met biokoffie. Voor een pittige espresso.;;;3,15;instock;https://www.oxfamfairtrade.be/wp-content/uploads/22723-600x600.jpg;Ja;Ja;Peru;/;/;0,089;120;60;150;6%;koffie*°;café*°;;;;;;;;;;;;;180;60;g;€/kg 52,50;8,71174E+12;6;0,00;2018-08-31;2019-02-12
22750;W22750;Oxfam Fair Trade;"Koffie &amp; thee>Koffie";Koffiesachets;Café sachets;Voor snelkoffiezetsystemen (grootverbruik). Deze sachets zijn gemaakt van fijn filterpapier en gevuld met 70 g koffie. Zo bekomt de gebruiker steeds dezelfde sterkte van koffie.<br>Om een goede smaak te waarborgen zal de samenstelling van de blend niet altijd hetzelfde zijn. Minstens 90% arabica.;Voor snelkoffiezetsystemen bij grootverbruikklanten.;Pour les distributeurs de café. Ces sachets sont fabriqués d’un filtre très fin et remplis de 70 g de café. Cela garantit une saveur constante. Conditionné sous atmosphère protectrice.<br>Afin de garantir un bon goût, le mélange peut varier. Au moins 90% arabica.;;46,00;instock;https://www.oxfamfairtrade.be/wp-content/uploads/22750-600x600.jpg;Nee;Nee;Honduras, Nicaragua, Tanzania;/;/;3,684;390;295;375;6%;koffie*;café*;;;;;;;;;;;;;365;2800;g;€/kg 16,43;5,40016E+12;1;0,00;2016-12-31;2019-02-12
22800;W12800;Oxfam Fair Trade;"Koffie &amp; thee>Koffie";BIO Oploskoffie;Café soluble bio;"Mengeling van robusta &amp; arabica. Een zachte dessert oploskoffie, geschikt voor thuisgebruik.";Oploskoffie met een zoete en zachte smaak.;Mélange de robusta & arabica. Produit en Tanzanie.;;4,55;instock;https://www.oxfamfairtrade.be/wp-content/uploads/22800-600x600.jpg;Ja;Ja;Tanzania;/;/;0,375;75;75;160;6%;koffie*°;café*°;;;;;;;;;;;;;730;100;g;€/kg 45,50;5,40016E+12;12;0,00;2016-12-31;2019-02-12
22805;W12805;Oxfam Fair Trade;"Koffie &amp; thee>Koffie";BIO B2B Instantkoffie;Café instantané bio B2B;Deze fruitige vriesdroogkoffie is van bijzonder hoge kwaliteit. Hij bevat 100% arabica en heeft een milde, intense smaak die de smaak van versgezette koffie evenaart.;Vriesdroogkoffie voor automaten.;Ce café fruité liophilisé est d’une qualité extraordinaire. Il contient 100% arabica et il a un goût doux et intense qui équivaut le café frais. Café lyophilisé adapté spécialement pour les distributeurs de café.;;19,45;instock;https://www.oxfamfairtrade.be/wp-content/uploads/22805-600x600.jpg;Ja;Ja;Honduras, Mexico, Tanzania;/;/;0,52;70;130;320;6%;koffie*°;café*°;;;;;;;;;;;;;730;500;g;€/kg 38,90;5,40016E+12;10;0,00;2016-12-31;2019-02-12
23002;W13002;Oxfam Fair Trade;"Koffie &amp; thee>Thee";BIO Zwarte thee 1,8 g x 100;Thé noir bio 1,8 g x 100;Aromatische zwarte Ceylonthee uit Sri Lanka. Ter plaatse verpakt. In een verpakking met 100 builtjes.;Biologische zwarte thee met een typisch Ceylon karakter.;Aromatique thé noir de Ceylon Sri Lanka.;;5,50;instock;https://www.oxfamfairtrade.be/wp-content/uploads/23002-600x600.jpg;Ja;Ja;Sri Lanka;/;/;0,357;77;202;170;6%;zwarte thee*°;thé noir*°;;;;;;;;;;;;;1080;180;g;€/kg 30,56;5,40016E+12;6;0,00;2016-12-31;2019-02-12
23006;W13006;Oxfam Fair Trade;"Koffie &amp; thee>Thee";BIO Zwarte thee 1,8 g x 20;Thé noir bio 1,8 g x 20;"Aromatische zwarte Ceylonthee uit Sri Lanka.
Ter plaatse verpakt in builtjes.";Biologische zwarte thee met een typisch Ceylon karakter.;Thé noir aromatique provenant du Sri Lanka. Conditionné à l’origine, emballage de 100 sachets.;;1,75;instock;https://www.oxfamfairtrade.be/wp-content/uploads/23006-600x600.jpg;Ja;Ja;Sri Lanka;/;/;0,053;67;100;77;6%;zwarte thee*°;thé noir*°;;;;;;;;;;;;;912;36;g;€/kg 48,61;5,40016E+12;12;0,00;2016-12-31;2019-02-12
23201;W13201;Oxfam Fair Trade;"Koffie &amp; thee>Thee";BIO Losse zwarte thee 100 g;Thé noir bio en vrac 100 g;Biologische zwarte losse thee van de twee bovenste jonge theeblaadjes. Handgeplukt in kleine tuinen in de Paksong regio op het Boloven plateau. Het klimaat op dit plateau zorgt voor een exceptioneel hoge kwaliteitsthee. Verpakt in Laos.;Een zwarte thee uit Paksong, een regio in Laos gekend om zijn ideale bodem en tropisch bergklimaat.;Thé noir bio. Grâce à la culture biologique, les feuilles ont le temps de pousser et de développer toute leur saveur. Emballé au Laos.;;5,45;onbackorder;https://www.oxfamfairtrade.be/wp-content/uploads/23201-600x600.jpg;Ja;Nee;Laos;/;/;0,12;65;80;136;6%;zwarte thee*°;thé noir*°;;;;;;;;;;;;;1095;100;g;€/kg 54,50;5,40016E+12;6;0,00;2016-12-31;2019-02-12
23400;W13400;Oxfam Fair Trade;"Koffie &amp; thee>Thee";BIO Groene thee Sri Lanka 1,8 g x 20;Thé vert bio Sri Lanka 1,8 g x 20;Groene biothee in builtjes, verwerkt en verpakt in Sri Lanka.;Groene thee in builtjes uit Sri Lanka.;Thé noir bio de Sri Lanka. En infusettes, conditionné en Sri Lanka.;;1,75;instock;https://www.oxfamfairtrade.be/wp-content/uploads/23400-600x600.jpg;Ja;Ja;Sri Lanka;/;/;0,072;67;100;77;6%;groene thee*°;thé vert*°;;;;;;;;;;;;;1095;36;g;€/kg 48,61;5,40016E+12;12;0,00;2016-12-31;2019-02-12
23401;W13401;Oxfam Fair Trade;"Koffie &amp; thee>Thee";BIO Groene thee met munt 1,8 g x 20;Thé vert bio menthe 1,8 g x 20;Groene thee uit Sri Lanka aangevuld met munt. Ter plaatse verpakt, in builtjes.;Groene thee in builtjes aangevuld met munt.;Thé vert bio avec menthe - en infusettes. Emballé au Sri Lanka.;;2,20;instock;https://www.oxfamfairtrade.be/wp-content/uploads/23401-600x600.jpg;Ja;Ja;Sri Lanka;/;/;0,073;67;100;77;6%;groene thee*° (96%), natuurlijk aroma (munt) (4%);thé vert*° (96%), arôme naturel (menthe) (4%);;;;;;;;;;;;;720;36;g;€/kg 61,11;5,40016E+12;12;0,00;2016-12-31;2019-02-12
23402;W13402;Oxfam Fair Trade;"Koffie &amp; thee>Thee";BIO Groene thee citroen 1,8 g x 20;Thé vert bio citron 1,8 g x 20;Groene thee uit Sri Lanka met een frisse toets van citroen.<br>Ter plaatse verpakt, in builtjes.;Groene thee met een frisse toets van citroen.;Le thé vert avec une touche fraîche de citron.<br>Emballé au Sri Lanka.;;1,95;instock;https://www.oxfamfairtrade.be/wp-content/uploads/23402-600x600.jpg;Ja;Ja;Sri Lanka;/;/;0,073;67;100;77;6%;groene thee*° (96,5%), natuurlijk aroma (citroen) (3,5%);thé vert*° (96,5%), arôme naturel (citron) (3,5%);;;;;;;;;;;;;650;36;g;€/kg 54,17;5,40016E+12;12;0,00;2016-12-31;2019-02-12
23501;W13501;Oxfam Fair Trade;"Koffie &amp; thee>Thee";BIO Losse groene thee 100 g;Thé bio vert en vrac 100 g;"Biologische groene losse thee van de twee bovenste jonge theeblaadjes. Handgeplukt in kleine tuinen in de Paksong regio op het Boloven plateau. Het klimaat op dit plateau zorgt voor een exceptioneel hoge kwaliteitsthee.

Groene thee mag niet te heet getrokken worden, omdat hij dan te bitter smaakt. Zetten op 70 à 80 graden is ideaal. Verpakt in Laos.";Een groene thee uit Paksong, een regio in Laos gekend om zijn ideale bodem en tropisch bergklimaat.;"Thé vert biologique des 2 jeunes feuilles supérieures du théier. Cueilli dans les jardins de Paksong sur le plateau de Boloven. Les conditions climatiques sur le plateau créent un thé de qualité supérieure.

Ne pas laisser infuser trop chaud, afin d’ éviter un goût amer. La température idéale est de 70 à 80 °C. Conditionné au Laos.";;5,45;onbackorder;https://www.oxfamfairtrade.be/wp-content/uploads/23501-600x600.jpg;Ja;Nee;Laos;/;/;0,12;68;80;136;6%;groene thee*°;thé vert*°;;;;;;;;;;;;;1095;100;g;€/kg 54,50;5,40016E+12;6;0,00;2016-12-31;2019-02-12
23503;W13503;Oxfam Fair Trade;"Koffie &amp; thee>Thee";BIO Bosvruchtenthee 1,8 g x 20;Thé bio fruits des bois 1,8 g x 20;Zwarte thee uit Sri Lanka met natuurlijk bosvruchtenaroma.<br>Ter plaatse verpakt, in builtjes.;Biologische zwarte thee met natuurlijk bosvruchtenaroma.;Thé noir bio avec un arôme naturel de fruits des bois – en infusettes.<br>Emballé au Sri Lanka.;;1,95;instock;https://www.oxfamfairtrade.be/wp-content/uploads/23503-600x600.jpg;Ja;Ja;Sri Lanka;/;/;0,053;67;100;77;6%;zwarte thee*° (96,5%), natuurlijk aroma (bosvruchten) (3,5%);thé noir*° (96,5%), arôme naturel (fruits des bois) (3,5%);;;;;;;;;;;;;730;36;g;€/kg 54,17;5,40016E+12;12;0,00;2016-12-31;2019-02-12
23504;W13504;Oxfam Fair Trade;"Koffie &amp; thee>Thee";BIO Citroenthee 1,8 g x 20;Thé bio citron 1,8 g x 20;Zwarte thee uit Sri Lanka met natuurlijk citroenaroma.<br>Ter plaatse verpakt, in builtjes.;Biologische zwarte thee met natuurlijk citroenaroma.;Thé noir bio avec un arôme naturel de citron – en infusettes.<br>Emballé au Sri Lanka.;;1,95;instock;https://www.oxfamfairtrade.be/wp-content/uploads/23504-600x600.jpg;Ja;Ja;Sri Lanka;/;/;0,053;67;100;77;6%;zwarte thee*°(96,5 %), natuurlijk aroma (citroen) (3,5%);thé noir*° (96,5%), arôme naturel (citron) (3,5%);;;;;;;;;;;;;730;36;g;€/kg 54,17;5,40016E+12;12;0,00;2016-12-31;2019-02-12
23505;W13505;Oxfam Fair Trade;"Koffie &amp; thee>Thee";BIO Earlgreythee 1,8 g x 20;Thé bio earl grey 1,8 g x 20;Zwarte thee uit Sri Lanka met natuurlijk bergamotaroma.<br>Ter plaatse verpakt, in builtjes.;Biologische zwarte thee met natuurlijk bergamotaroma.;Thé noir bio avec un arôme naturel de bergamote – en infusettes.<br>Emballé au Sri Lanka.;;1,95;instock;https://www.oxfamfairtrade.be/wp-content/uploads/23505-600x600.jpg;Ja;Ja;Sri Lanka;/;/;0,053;67;100;77;6%;zwarte thee*° (96%), natuurlijk aroma (bergamot) (4%);thé noir*° (96%), arôme naturel (bergamote) (4%);;;;;;;;;;;;;730;36;g;€/kg 54,17;5,40016E+12;12;0,00;2016-12-31;2019-02-12
23506;W13506;Oxfam Fair Trade;"Koffie &amp; thee>Thee";BIO Sinaas-mangothee 1,8 g x 20;Thé bio oranges-mangues 1,8 g x 20;Zwarte thee uit Sri Lanka met natuurlijk sinaas-mango aroma.<br>Ter plaatse verpakt, in builtjes.;Biologische zwarte thee met natuurlijk sinaasappel- en mangoaroma.;Thé noir bio avec un arôme naturel d'oranges et de mangue – en infusettes.<br>Emballé au Sri Lanka.;;1,95;instock;https://www.oxfamfairtrade.be/wp-content/uploads/23506-600x600.jpg;Ja;Ja;Sri Lanka;/;/;0,053;67;100;77;6%;zwarte thee*° (95,5%), natuurlijk aroma (mango (2,5%), sinaasappel (2%));thé noir*° (95,5%), arôme naturel (mangue (2,5%), orange (2%));;;;;;;;;;;;;730;36;g;€/kg 54,17;5,40016E+12;12;0,00;2016-12-31;2019-02-12
23507;W13507;Oxfam Fair Trade;"Koffie &amp; thee>Thee";BIO Thee 4 smaken assortiment 1,8 x 25 x 4;Thé bio assortiment 4 goûts 1,8 x 25 x 4;Een display met 4 geweldige smaken: earl grey, bosvruchten, groene thee en rooibos. 25 builtjes per smaak. Verpakt in Sri lanka.;Een vernieuwde assortimentsdoos met een gevarieerde selectie van groene thee, earl grey, bosvruchtenthee en rooibos.;Un assortiment de quatre saveurs: bergamote, fruits des bois, le thé vert et rooibos. 25 sachets par goût.<br>Emballé au Sri Lanka.;;9,95;instock;https://www.oxfamfairtrade.be/wp-content/uploads/23507-600x600.jpg;Ja;Ja;Sri Lanka, Zuid-Afrika;/;/;0,397;275;112;80;6%;earl grey: zwarte thee*° (96%), natuurlijk aroma (bergamot) (4%) // groene thee: groene thee*° // rooibos kruidenthee: rooibos*° // bosvruchten: zwarte thee*° (96,5%), natuurlijk aroma (bosvruchten) (3,5%);earl grey : thé noir*° (96%), arôme naturel (bergamote) (4%) // thé vert: thé vert*° // infusion rooibos : rooibos*° // fruits des bois : thé noir*° (96,5%), arôme naturel (fruits des bois) (3,5%);;;;;;;;;;;;;730;180;g;€/kg 55,28;5,40016E+12;6;0,00;2016-12-31;2019-02-12
23702;W13702;Oxfam Fair Trade;"Koffie &amp; thee>Thee";BIO Rooibosthee 1,8 g x 20;Infusion rooibos bio 1,8 g x 20;Rooibosthee uit Zuid-Afrika. De plaatselijke bevolking kent reeds eeuwen de geneeskrachtige eigenschappen van dit kruid. Deze kruidenthee is van nature cafeïnevrij.;Rooibos, in Zuid-Afrika gekend om zijn geneeskrachtige eigenschappen.;Cette infusion de l'Afrique du Sud est naturellement sans théine. La population locale connaît depuis des siècles les propriétés médicinales de cette herbe.;;2,75;instock;https://www.oxfamfairtrade.be/wp-content/uploads/23702-600x600.jpg;Ja;Ja;Zuid-Afrika;/;/;0,063;67;100;77;6%;rooibos*°;rooibos*°;;;;;;;;;;;;;720;36;g;€/kg 76,39;5,40016E+12;12;0,00;2016-12-31;2019-02-12
23705;W13705;Oxfam Fair Trade;"Koffie &amp; thee>Thee";BIO Rooibos African Sunset 1,8 g x 20;Infusion rooibos bio African Sunset 1,8 g x 20;Rooibosthee uit Zuid-Afrika verrijkt met een toets van sinaas, munt en kaneel.;Rooibos thee verrijkt met een toets van sinaasappel, munt en kaneel.;Infusion rooibos de l'Afrique du Sud enrichi de notes d’orange, menthe et cannelle.;;2,85;instock;https://www.oxfamfairtrade.be/wp-content/uploads/23705-600x600.jpg;Ja;Ja;Sri Lanka, Zuid-Afrika;/;/;0,073;67;100;77;6%;rooibos*° (78,5%), kaneel*° (18%), natuurlijk aroma (sinaasappel (2%), munt (1,5%));rooibos*° (78,5%), cannelle*° (18%), arôme naturel (orange (2%), menthe (1,5%));;;;;;;;;;;;;720;36;g;€/kg 79,17;5,40016E+12;12;0,00;2016-12-31;2019-02-12
24006;W14006;Oxfam Fair Trade;Ontbijt>Chocodrink;BIO Choco drink poeder;Choco drink bio poudre;"Kant-en-klare basis voor een (h)eerlijke chocomelk. Pure &amp; biologische mengeling van rietsuiker en cacao. Zowel in warme als koude melk oplosbaar.";Puur en biologisch cacaopoeder.;Poudre pour préparer une délicieuse boisson chocolatée au sucre de canne. A boire avec du lait froid ou chaud.;;3,45;instock;https://www.oxfamfairtrade.be/wp-content/uploads/24006-600x600.jpg;Ja;Ja;Dominicaanse Republiek, Paraguay, Peru;/;eieren, gluten, melk, noten, selderij, soja, sulfieten;0,4;47;135;155;6%;rietsuiker*°, mager cacaopoeder*° 25% minimum (waarvan 2,75% cacaoboter);sucre de canne*°, cacao maigre en poudre*° 25% minimum (dont 2,75% de beurre de cacao);1533;2,8;1,7;1,1;;79;75;;4;;5,1;0,01;720;375;g;€/kg 9,20;5,40016E+12;12;0,00;2016-12-31;2019-02-12
24016;X14016;Ethiquable;Ontbijt>Chocodrink;BIO Cacao in poeder;Cacao bio en poudre;Puur cacaopoeder om in de keuken mee aan de slag te gaan.;Puur cacaopoeder om in de keuken mee aan de slag te gaan.;Poudre de cacao pur pour utilisation culinaire.;;6,35;instock;https://www.oxfamfairtrade.be/wp-content/uploads/24016-600x600.jpg;Ja;Ja;Ecuador;/;eieren, gluten, melk, noten, selderij, soja, sulfieten;0,351;105;105;120;6%;cacao*°;Cacao;1690;21;12,6;;;19;0,5;;;;22;0;270;280;g;€/kg 22,68;5,42005E+12;6;0,00;2016-12-31;2019-02-12
24100;W14100;Oxfam Fair Trade;"Snacks &amp; drinks>Chocolade";Melkchocolade 50 g;Chocolat au lait 50 g;Belgische melkchocolade met rietsuiker. Tenminste 30% cacao. 35 repen in een display.;Belgische melkchocolade met cacao van Ecookim uit Ivoorkust.;Chocolat belge au lait avec du sucre de canne. Contient minimum 30% de cacao. 35 barres dans un coffret.;;0,85;instock;https://www.oxfamfairtrade.be/wp-content/uploads/24100-600x600.jpg;Nee;Ja;Ivoorkust, Mauritius;melk, soja;eieren, gluten, noten;0,053;120;35;15;6%;rietsuiker*, volleMELKpoeder, cacaoboter*, cacaomassa*, emulgator: SOJAlecithine - cacaobestanddelen: ten minste 32%, melkbestanddelen: ten minste 22,5%;sucre de canne*, LAIT entier en poudre, beurre de cacao*, pâte de cacao*, émulsifiant: lécithine de SOJA - cacao : au moins 32%, pourcentage de lait : au moins 22,5%;2275;33;20,3;11,4;1,3;53,8;53;;0,8;2,1;7,2;0,2;730;50;g;€/kg 17,00;5,40016E+12;35;0,00;2016-12-31;2019-02-12
24101;W14101;Oxfam Fair Trade;"Snacks &amp; drinks>Chocolade";Pralinéchocolade 48 g;Chocolat praliné 48 g;Belgische melkchocolade met rietsuiker en pralinévulling. Tenminste 30% cacao. 35 repen in een display.;Belgische melkchocolade met cacao van Ecookim uit Ivoorkust.;Chocolat belge au sucre de canne et fourré praliné. Contient minimum 30% de cacao. 35 barres dans un coffret.;;0,85;instock;https://www.oxfamfairtrade.be/wp-content/uploads/24101-600x600.jpg;Nee;Ja;Costa Rica, Ghana, Ivoorkust, Mauritius;melk, noten, soja;eieren, gluten;0,053;120;35;15;6%;rietsuiker*, volleMELKpoeder, cacaoboter*, HAZELNOTEN (6,9%), cacaomassa*, plantaardig vet (koolzaadolie, palmolie), voedingsvezels (oligofructose, inuline), magere cacaopoeder, emulgator: SOJAlecithine - cacaobestanddelen: ten minste 32%, melkbestanddelen: ten minste 22,5%;sucre de canne*, LAIT entier en poudre, beurre de cacao*, NOISETTES (6,9%), pâte de cacao*, huiles végétales (huile de navette, huile de palme), fibres alimentaires (oligofructose, inuline), cacao maigre en poudre*, émulsifiant: lécithine de SOJA - cacao : au moins 32%, pourcentage de lait: au moins 22,5%;2227;31;17;12,6;1,4;55,8;53,1;;2,7;2,8;6,4;0,15;365;48;g;€/kg 17,71;5,40016E+12;35;0,00;2016-12-31;2019-02-12
24102;W14102;Oxfam Fair Trade;"Snacks &amp; drinks>Chocolade";Notenchocolade 47 g;Chocolat aux noix 47 g;Belgische melkchocolade met rietsuiker en amazonenoten. Tenminste 30% cacao. 35 repen in een display.;Belgische melkchocolade met cacao van Ecookim uit Ivoorkust.;Chocolat belge au lait au sucre de canne et noix d'Amazonie. Contient minimum 30% de cacao. 35 barres dans un coffret.;;0,85;onbackorder;https://www.oxfamfairtrade.be/wp-content/uploads/24102-600x600.jpg;Nee;Ja;Bolivia, Ivoorkust, Mauritius;melk, noten, soja;eieren, gluten;0,05;120;35;15;6%;rietsuiker*, volleMELKpoeder, cacaoboter*, cacaomassa*, AMAZONENOTEN* (10%), emulgator: SOJAlecithine - cacaobestanddelen: ten minste 32%, melkbestanddelen ten minste 22,5%;sucre de canne*, LAIT entier en poudre, beurre de cacao*, pâte de cacao*, NOIX D'AMAZONIE* (10%), émulsifiant: lécithine de SOJA - cacao : au moins 32%, pourcentage de lait : au moins 22,5%;2347;35,9;18,7;15,2;2;50,5;48,3;;2,2;3;8;0,18;365;47;g;€/kg 18,09;5,40016E+12;35;0,00;2016-12-31;2019-02-12
